Year,gdp_usd_annual
1994,11717604208.8223
1995,13029697560.9756
1996,13897738375.2488
1997,15091913883.7091
1998,15760736956.1852
1999,15711933513.2831
2000,16595882818.6857
2001,15749753804.8344
2002,16536535647.0834
2003,18881765437.2151
2004,20662525941.2985
2005,24405791044.7761
2006,28267410542.5164
2007,32350238760.4239
2008,40713826215.0093
2009,42066224093.0065
2010,58636049434.1871
2011,67753285896.6254
2012,70447217163.7784
2013,76976203829.4765
2014,82531125190.5224
2015,85090301052.0465
2016,88000211171.5956
2017,94369350285.5814
2018,94450015982.8405
2019,88998706296.5783
2020,84335574581.5072
2021,88556698937.7033
2022,74143020262.8076
2023,83716142582.1945
2024,98963185509.6499
2025,103000511357.55228
