Date,Year,Month,gdp_usd_annual,gdp_usd_monthly
1994-01-31,1994,1,11717604208.8223,11825447498.040379
1994-02-28,1994,2,11717604208.8223,11926101234.64392
1994-03-31,1994,3,11717604208.8223,12037539300.16927
1994-04-30,1994,4,11717604208.8223,12145382589.387348
1994-05-31,1994,5,11717604208.8223,12256820654.912697
1994-06-30,1994,6,11717604208.8223,12364663944.130775
1994-07-31,1994,7,11717604208.8223,12476102009.656124
1994-08-31,1994,8,11717604208.8223,12587540075.181475
1994-09-30,1994,9,11717604208.8223,12695383364.399553
1994-10-31,1994,10,11717604208.8223,12806821429.924902
1994-11-30,1994,11,11717604208.8223,12914664719.14298
1994-12-31,1994,12,11717604208.8223,13026102784.66833
1995-01-31,1995,1,13029697560.9756,13101043381.32682
1995-02-28,1995,2,13029697560.9756,13167632813.654629
1995-03-31,1995,3,13029697560.9756,13241356828.017557
1995-04-30,1995,4,13029697560.9756,13312702648.36878
1995-05-31,1995,5,13029697560.9756,13386426662.731709
1995-06-30,1995,6,13029697560.9756,13457772483.082932
1995-07-31,1995,7,13029697560.9756,13531496497.44586
1995-08-31,1995,8,13029697560.9756,13605220511.80879
1995-09-30,1995,9,13029697560.9756,13676566332.160011
1995-10-31,1995,10,13029697560.9756,13750290346.522942
1995-11-30,1995,11,13029697560.9756,13821636166.874163
1995-12-31,1995,12,13029697560.9756,13895360181.237093
1996-01-31,1996,1,13897738375.2488,13995621613.647186
1996-02-29,1996,2,13897738375.2488,14090242077.432291
1996-03-31,1996,3,13897738375.2488,14191388090.443956
1996-04-30,1996,4,13897738375.2488,14289271328.842342
1996-05-31,1996,5,13897738375.2488,14390417341.854006
1996-06-30,1996,6,13897738375.2488,14488300580.252392
1996-07-31,1996,7,13897738375.2488,14589446593.264057
1996-08-31,1996,8,13897738375.2488,14690592606.27572
1996-09-30,1996,9,13897738375.2488,14788475844.674107
1996-10-31,1996,10,13897738375.2488,14889621857.685772
1996-11-30,1996,11,13897738375.2488,14987505096.084156
1996-12-31,1996,12,13897738375.2488,15088651109.095821
1997-01-31,1997,1,15091913883.7091,15146885643.090698
1997-02-28,1997,2,15091913883.7091,15198192618.513521
1997-03-31,1997,3,15091913883.7091,15254996769.874506
1997-04-30,1997,4,15091913883.7091,15309968529.256104
1997-05-31,1997,5,15091913883.7091,15366772680.617086
1997-06-30,1997,6,15091913883.7091,15421744439.998684
1997-07-31,1997,7,15091913883.7091,15478548591.359667
1997-08-31,1997,8,15091913883.7091,15535352742.720652
1997-09-30,1997,9,15091913883.7091,15590324502.10225
1997-10-31,1997,10,15091913883.7091,15647128653.463232
1997-11-30,1997,11,15091913883.7091,15702100412.84483
1997-12-31,1997,12,15091913883.7091,15758904564.205812
1998-01-31,1998,1,15760736956.1852,15756725714.302835
1998-02-28,1998,2,15760736956.1852,15752981888.545961
1998-03-31,1998,3,15760736956.1852,15748836938.600853
1998-04-30,1998,4,15760736956.1852,15744825696.718489
1998-05-31,1998,5,15760736956.1852,15740680746.773378
1998-06-30,1998,6,15760736956.1852,15736669504.891014
1998-07-31,1998,7,15760736956.1852,15732524554.945904
1998-08-31,1998,8,15760736956.1852,15728379605.000793
1998-09-30,1998,9,15760736956.1852,15724368363.11843
1998-10-31,1998,10,15760736956.1852,15720223413.173319
1998-11-30,1998,11,15760736956.1852,15716212171.290955
1998-12-31,1998,12,15760736956.1852,15712067221.345846
1999-01-31,1999,1,15711933513.2831,15784586880.850437
1999-02-28,1999,2,15711933513.2831,15852396690.579952
1999-03-31,1999,3,15711933513.2831,15927471837.0662
1999-04-30,1999,4,15711933513.2831,16000125204.633537
1999-05-31,1999,5,15711933513.2831,16075200351.119785
1999-06-30,1999,6,15711933513.2831,16147853718.687122
1999-07-31,1999,7,15711933513.2831,16222928865.17337
1999-08-31,1999,8,15711933513.2831,16298004011.659618
1999-09-30,1999,9,15711933513.2831,16370657379.226955
1999-10-31,1999,10,15711933513.2831,16445732525.713203
1999-11-30,1999,11,15711933513.2831,16518385893.28054
1999-12-31,1999,12,15711933513.2831,16593461039.766788
2000-01-31,2000,1,16595882818.6857,16526527981.484774
2000-02-29,2000,2,16595882818.6857,16459484972.190544
2000-03-31,2000,3,16595882818.6857,16387818307.08292
2000-04-30,2000,4,16595882818.6857,16318463469.881994
2000-05-31,2000,5,16595882818.6857,16246796804.77437
2000-06-30,2000,6,16595882818.6857,16177441967.573444
2000-07-31,2000,7,16595882818.6857,16105775302.46582
2000-08-31,2000,8,16595882818.6857,16034108637.358198
2000-09-30,2000,9,16595882818.6857,15964753800.15727
2000-10-31,2000,10,16595882818.6857,15893087135.049648
2000-11-30,2000,11,16595882818.6857,15823732297.84872
