year,slbfe_total_annual,remittances_annual_usd_mn,inflation_rate_annual,central_bank_interest_rate_annual
1994,60168.0,715.1924438,8.448712487,17.0
1995,172489.0,800.9690180000001,7.674848734,17.0
1996,162576.0,843.1730164,15.935831040000002,17.0
1997,150283.0,933.7312562000001,9.573696264,17.0
1998,159816.0,1013.33709,9.364243007,17.0
1999,179735.0,1064.301778,4.69170563,16.0
2000,182188.0,1154.285559,6.17627591,17.6667
2001,184007.0,1169.81,14.1584558,23.583299999999998
2002,203773.0,1296.07,9.55103167,18.0
2003,209846.0,1423.47,6.3146378709999995,16.75
2004,214709.0,1573.78,7.57592583,15.0
2005,231290.0,1975.536,11.6396861,15.0
2006,201948.0,2166.77,10.02018361,15.0
2007,218459.0,2507.3,15.84211149,15.0
2008,250499.0,2924.5,22.56449553,15.0
2009,247126.0,3336.6999999999994,3.464963221,15.0
2010,267507.0,4123.13,6.217648893,15.0
2011,262961.0,5153.01,6.716768436,15.0
2012,282447.0,5999.552324,7.542913732,15.0
2013,293218.0,6422.186627,6.908450348,15.0
2014,300703.0,7036.326551000001,3.1790022820000003,15.0
2015,263443.0,6999.731475,3.7683678310000004,15.0
2016,242816.0,7261.851525000001,3.958888466,15.0
2017,211992.0,7190.296015,7.704137679,15.0
2018,211211.0,7043.039551999999,2.135037737,15.0
2019,203087.0,6748.702044000001,3.528393582,15.0
2020,53711.0,7140.414362,6.153945084,10.4583
2021,122264.0,5521.864471,7.014780712,8.7083
2022,310953.0,3819.373807,49.72110211,15.31
2023,297587.0,6022.594533,16.54117423,20.8858
2024,314786.0,6721.617582,-0.429360049,11.5
2025,290000.0,8076.2,4.4,9.2917
