year,slbfe_total_annual,remittances_annual_usd_mn,wage_all_workers_annual,dest_gdp_growth_avg_annual
1994,60168.0,715.1924438,712.4,5.599918724999999
1995,172489.0,800.9690180000001,740.2999999999998,5.500085234
1996,162576.0,843.1730164,801.7000000000002,3.799967206
1997,150283.0,933.7312562000001,849.1,6.405399696
1998,159816.0,1013.33709,953.2999999999998,4.698423048
1999,179735.0,1064.301778,977.6,4.300540498
2000,182188.0,1154.285559,1000.4,6.000033158
2001,184007.0,1169.81,1049.3,-1.5454081339999999
2002,203773.0,1296.07,1126.5,3.964675685
2003,209846.0,1423.47,1205.2,5.940269078
2004,214709.0,1573.78,1233.0,5.445061279
2005,231290.0,1975.536,1329.7,6.241748044
2006,201948.0,2166.77,1358.2,7.668291901
2007,218459.0,2507.3,1648.8,6.7968261189999994
2008,250499.0,2924.5,2070.4,5.950088145
2009,247126.0,3336.6999999999994,2171.4,3.5389120529999993
2010,267507.0,4123.13,2865.3000000000006,8.015967371
2011,262961.0,5153.01,2996.1,8.669483012
2012,282447.0,5999.552324,3662.0,8.632181377
2013,293218.0,6422.186627,3869.1999999999994,4.05174633
2014,300703.0,7036.326551000001,4012.1999999999994,6.377978897000001
2015,263443.0,6999.731475,4127.1,4.205955474
2016,242816.0,7261.851525000001,4127.9,5.05362489
2017,211992.0,7190.296015,4128.6,6.460681271000001
2018,211211.0,7043.039551999999,4155.2,2.310084255
2019,203087.0,6748.702044000001,4275.5,-0.220483887
2020,53711.0,7140.414362,4282.0,-4.624515037
2021,122264.0,5521.864471,7469.5,4.207476495
2022,310953.0,3819.373807,8198.6,-7.349193013
2023,297587.0,6022.594533,8232.9,-2.32984819
2024,314786.0,6721.617582,8239.7,5.00871931
2025,290000.0,8076.2,9472.3381,2.801271116
