date,year,month,employment_ratio_monthly,employment_ratio_annual
1994-01-01,1994,1,49.608,49.608
1994-02-01,1994,2,49.48616666666666,49.608
1994-03-01,1994,3,49.364333333333335,49.608
1994-04-01,1994,4,49.2425,49.608
1994-05-01,1994,5,49.120666666666665,49.608
1994-06-01,1994,6,48.99883333333333,49.608
1994-07-01,1994,7,48.876999999999995,49.608
1994-08-01,1994,8,48.75516666666667,49.608
1994-09-01,1994,9,48.63333333333333,49.608
1994-10-01,1994,10,48.5115,49.608
1994-11-01,1994,11,48.38966666666667,49.608
1994-12-01,1994,12,48.267833333333336,49.608
1995-01-01,1995,1,48.146,48.146
1995-02-01,1995,2,48.2265,48.146
1995-03-01,1995,3,48.307,48.146
1995-04-01,1995,4,48.3875,48.146
1995-05-01,1995,5,48.468,48.146
1995-06-01,1995,6,48.548500000000004,48.146
1995-07-01,1995,7,48.629000000000005,48.146
1995-08-01,1995,8,48.7095,48.146
1995-09-01,1995,9,48.79,48.146
1995-10-01,1995,10,48.8705,48.146
1995-11-01,1995,11,48.951,48.146
1995-12-01,1995,12,49.0315,48.146
1996-01-01,1996,1,49.112,49.112
1996-02-01,1996,2,49.134750000000004,49.112
1996-03-01,1996,3,49.1575,49.112
1996-04-01,1996,4,49.18025,49.112
1996-05-01,1996,5,49.203,49.112
1996-06-01,1996,6,49.22575,49.112
1996-07-01,1996,7,49.2485,49.112
1996-08-01,1996,8,49.27125,49.112
1996-09-01,1996,9,49.294,49.112
1996-10-01,1996,10,49.31675,49.112
1996-11-01,1996,11,49.3395,49.112
1996-12-01,1996,12,49.362249999999996,49.112
1997-01-01,1997,1,49.385,49.385
1997-02-01,1997,2,49.72175,49.385
1997-03-01,1997,3,50.058499999999995,49.385
1997-04-01,1997,4,50.39525,49.385
1997-05-01,1997,5,50.732,49.385
1997-06-01,1997,6,51.06875,49.385
1997-07-01,1997,7,51.4055,49.385
1997-08-01,1997,8,51.74225,49.385
1997-09-01,1997,9,52.079,49.385
1997-10-01,1997,10,52.41575,49.385
1997-11-01,1997,11,52.7525,49.385
1997-12-01,1997,12,53.08925,49.385
1998-01-01,1998,1,53.426,53.426
1998-02-01,1998,2,53.325583333333334,53.426
1998-03-01,1998,3,53.22516666666667,53.426
1998-04-01,1998,4,53.12475,53.426
1998-05-01,1998,5,53.02433333333333,53.426
1998-06-01,1998,6,52.92391666666666,53.426
1998-07-01,1998,7,52.823499999999996,53.426
1998-08-01,1998,8,52.723083333333335,53.426
1998-09-01,1998,9,52.62266666666667,53.426
1998-10-01,1998,10,52.52225,53.426
1998-11-01,1998,11,52.42183333333333,53.426
1998-12-01,1998,12,52.321416666666664,53.426
1999-01-01,1999,1,52.221,52.221
1999-02-01,1999,2,52.141666666666666,52.221
1999-03-01,1999,3,52.06233333333333,52.221
1999-04-01,1999,4,51.983,52.221
1999-05-01,1999,5,51.903666666666666,52.221
1999-06-01,1999,6,51.82433333333333,52.221
1999-07-01,1999,7,51.745,52.221
1999-08-01,1999,8,51.66566666666667,52.221
1999-09-01,1999,9,51.58633333333333,52.221
1999-10-01,1999,10,51.507,52.221
1999-11-01,1999,11,51.42766666666667,52.221
1999-12-01,1999,12,51.34833333333333,52.221
2000-01-01,2000,1,51.269,51.269
2000-02-01,2000,2,51.244166666666665,51.269
2000-03-01,2000,3,51.21933333333333,51.269
2000-04-01,2000,4,51.1945,51.269
2000-05-01,2000,5,51.169666666666664,51.269
2000-06-01,2000,6,51.14483333333333,51.269
2000-07-01,2000,7,51.12,51.269
2000-08-01,2000,8,51.095166666666664,51.269
2000-09-01,2000,9,51.07033333333333,51.269
2000-10-01,2000,10,51.0455,51.269
2000-11-01,2000,11,51.02066666666666,51.269
2000-12-01,2000,12,50.99583333333333,51.269
2001-01-01,2001,1,50.971,50.971
2001-02-01,2001,2,50.91408333333333,50.971
2001-03-01,2001,3,50.857166666666664,50.971
2001-04-01,2001,4,50.80025,50.971
2001-05-01,2001,5,50.74333333333333,50.971
2001-06-01,2001,6,50.686416666666666,50.971
2001-07-01,2001,7,50.62949999999999,50.971
2001-08-01,2001,8,50.57258333333333,50.971
2001-09-01,2001,9,50.51566666666666,50.971
2001-10-01,2001,10,50.458749999999995,50.971
2001-11-01,2001,11,50.40183333333333,50.971
2001-12-01,2001,12,50.34491666666666,50.971
2002-01-01,2002,1,50.288,50.288
2002-02-01,2002,2,50.2955,50.288
2002-03-01,2002,3,50.303,50.288
2002-04-01,2002,4,50.3105,50.288
2002-05-01,2002,5,50.318,50.288
2002-06-01,2002,6,50.3255,50.288
2002-07-01,2002,7,50.333,50.288
2002-08-01,2002,8,50.3405,50.288
2002-09-01,2002,9,50.348,50.288
2002-10-01,2002,10,50.3555,50.288
2002-11-01,2002,11,50.363,50.288
2002-12-01,2002,12,50.3705,50.288
2003-01-01,2003,1,50.378,50.378
2003-02-01,2003,2,50.35325,50.378
2003-03-01,2003,3,50.3285,50.378
2003-04-01,2003,4,50.30375,50.378
2003-05-01,2003,5,50.279,50.378
2003-06-01,2003,6,50.25425,50.378
2003-07-01,2003,7,50.2295,50.378
2003-08-01,2003,8,50.204750000000004,50.378
2003-09-01,2003,9,50.18,50.378
2003-10-01,2003,10,50.15525,50.378
2003-11-01,2003,11,50.130500000000005,50.378
2003-12-01,2003,12,50.10575,50.378
2004-01-01,2004,1,50.081,50.081
2004-02-01,2004,2,50.09591666666667,50.081
2004-03-01,2004,3,50.11083333333333,50.081
2004-04-01,2004,4,50.125750000000004,50.081
2004-05-01,2004,5,50.14066666666667,50.081
2004-06-01,2004,6,50.15558333333333,50.081
2004-07-01,2004,7,50.170500000000004,50.081
2004-08-01,2004,8,50.18541666666667,50.081
2004-09-01,2004,9,50.20033333333333,50.081
2004-10-01,2004,10,50.21525,50.081
2004-11-01,2004,11,50.23016666666666,50.081
2004-12-01,2004,12,50.24508333333333,50.081
2005-01-01,2005,1,50.26,50.26
2005-02-01,2005,2,50.29533333333333,50.26
2005-03-01,2005,3,50.330666666666666,50.26
2005-04-01,2005,4,50.366,50.26
2005-05-01,2005,5,50.40133333333333,50.26
2005-06-01,2005,6,50.43666666666667,50.26
2005-07-01,2005,7,50.471999999999994,50.26
2005-08-01,2005,8,50.50733333333333,50.26
2005-09-01,2005,9,50.54266666666666,50.26
2005-10-01,2005,10,50.577999999999996,50.26
2005-11-01,2005,11,50.61333333333333,50.26
2005-12-01,2005,12,50.648666666666664,50.26
2006-01-01,2006,1,50.684,50.684
2006-02-01,2006,2,50.690083333333334,50.684
2006-03-01,2006,3,50.69616666666666,50.684
2006-04-01,2006,4,50.70225,50.684
2006-05-01,2006,5,50.70833333333333,50.684
2006-06-01,2006,6,50.714416666666665,50.684
2006-07-01,2006,7,50.7205,50.684
2006-08-01,2006,8,50.72658333333333,50.684
2006-09-01,2006,9,50.73266666666667,50.684
2006-10-01,2006,10,50.738749999999996,50.684
2006-11-01,2006,11,50.74483333333333,50.684
2006-12-01,2006,12,50.75091666666666,50.684
2007-01-01,2007,1,50.757,50.757
2007-02-01,2007,2,50.772666666666666,50.757
2007-03-01,2007,3,50.788333333333334,50.757
2007-04-01,2007,4,50.804,50.757
2007-05-01,2007,5,50.81966666666666,50.757
2007-06-01,2007,6,50.83533333333333,50.757
2007-07-01,2007,7,50.851,50.757
2007-08-01,2007,8,50.86666666666667,50.757
2007-09-01,2007,9,50.882333333333335,50.757
2007-10-01,2007,10,50.897999999999996,50.757
2007-11-01,2007,11,50.913666666666664,50.757
2007-12-01,2007,12,50.92933333333333,50.757
2008-01-01,2008,1,50.945,50.945
2008-02-01,2008,2,50.898916666666665,50.945
2008-03-01,2008,3,50.852833333333336,50.945
2008-04-01,2008,4,50.80675,50.945
2008-05-01,2008,5,50.760666666666665,50.945
2008-06-01,2008,6,50.71458333333334,50.945
2008-07-01,2008,7,50.6685,50.945
2008-08-01,2008,8,50.622416666666666,50.945
2008-09-01,2008,9,50.57633333333334,50.945
2008-10-01,2008,10,50.53025,50.945
2008-11-01,2008,11,50.48416666666667,50.945
2008-12-01,2008,12,50.43808333333334,50.945
2009-01-01,2009,1,50.392,50.392
2009-02-01,2009,2,50.42141666666667,50.392
2009-03-01,2009,3,50.450833333333335,50.392
2009-04-01,2009,4,50.48025,50.392
2009-05-01,2009,5,50.50966666666667,50.392
2009-06-01,2009,6,50.53908333333334,50.392
2009-07-01,2009,7,50.5685,50.392
2009-08-01,2009,8,50.59791666666666,50.392
2009-09-01,2009,9,50.62733333333333,50.392
2009-10-01,2009,10,50.65675,50.392
2009-11-01,2009,11,50.686166666666665,50.392
2009-12-01,2009,12,50.71558333333333,50.392
2010-01-01,2010,1,50.745,50.745
2010-02-01,2010,2,50.74041666666666,50.745
2010-03-01,2010,3,50.73583333333333,50.745
2010-04-01,2010,4,50.731249999999996,50.745
2010-05-01,2010,5,50.72666666666667,50.745
