year,slbfe_total_annual,remittances_annual_usd_mn,employment_ratio_annual,unemployment_rate_annual
1994,60168.0,715.1924438,49.608,13.03
1995,172489.0,800.9690180000001,48.145999999999994,12.270000000000001
1996,162576.0,843.1730164,49.112,11.35
1997,150283.0,933.7312562000001,49.385,10.6
1998,159816.0,1013.33709,53.42600000000001,9.17
1999,179735.0,1064.301778,52.221,8.88
2000,182188.0,1154.285559,51.269,7.739999999999999
2001,184007.0,1169.81,50.971,7.900000000000001
2002,203773.0,1296.07,50.28799999999999,8.76
2003,209846.0,1423.47,50.37800000000001,8.22
2004,214709.0,1573.78,50.080999999999996,8.38
2005,231290.0,1975.536,50.26,7.669999999999999
2006,201948.0,2166.77,50.684,6.5
2007,218459.0,2507.3,50.757,5.97
2008,250499.0,2924.5,50.945,5.22
2009,247126.0,3336.6999999999994,50.392,5.849999999999999
2010,267507.0,4123.13,50.745,4.784
2011,262961.0,5153.01,50.69,4.118
2012,282447.0,5999.552324,50.53,3.8800000000000003
2013,293218.0,6422.186627,49.874,4.186
2014,300703.0,7036.326551000001,49.454,4.157
2015,263443.0,6999.731475,51.243,4.519
2016,242816.0,7261.851525000001,51.446,4.242
2017,211992.0,7190.296015,51.806999999999995,4.046
2018,211211.0,7043.039551999999,49.488,4.318
2019,203087.0,6748.702044000001,49.809,4.67
2020,53711.0,7140.414362,47.786,5.364
2021,122264.0,5521.864471,47.354000000000006,4.981
2022,310953.0,3819.373807,47.476,4.528
2023,297587.0,6022.594533,45.254,4.528
2024,314786.0,6721.617582,46.54,4.239
2025,290000.0,8076.2,46.57399999999999,4.005
