date,year,month,unemployment_rate_monthly,unemployment_rate_annual
1994-01-01,1994,1,13.03,13.03
1994-02-01,1994,2,12.968485639686683,13.03
1994-03-01,1994,3,12.906971279373368,13.03
1994-04-01,1994,4,12.845456919060052,13.03
1994-05-01,1994,5,12.783942558746736,13.03
1994-06-01,1994,6,12.72242819843342,13.03
1994-07-01,1994,7,12.660913838120104,13.03
1994-08-01,1994,8,12.599399477806788,13.03
1994-09-01,1994,9,12.537885117493472,13.03
1994-10-01,1994,10,12.476370757180156,13.03
1994-11-01,1994,11,12.41485639686684,13.03
1994-12-01,1994,12,12.353342036553524,13.03
1995-01-01,1995,1,12.291827676240208,12.27
1995-02-01,1995,2,12.22195822454308,12.27
1995-03-01,1995,3,12.147493472584856,12.27
1995-04-01,1995,4,12.073028720626631,12.27
1995-05-01,1995,5,11.998563968668407,12.27
1995-06-01,1995,6,11.924099216710182,12.27
1995-07-01,1995,7,11.849634464751958,12.27
1995-08-01,1995,8,11.775169712793733,12.27
1995-09-01,1995,9,11.700704960835509,12.27
1995-10-01,1995,10,11.626240208877284,12.27
1995-11-01,1995,11,11.55177545691906,12.27
1995-12-01,1995,12,11.477310704960836,12.27
1996-01-01,1996,1,11.402845953002611,11.35
1996-02-01,1996,2,11.332375979112271,11.35
1996-03-01,1996,3,11.271671018276763,11.35
1996-04-01,1996,4,11.210966057441253,11.35
1996-05-01,1996,5,11.150261096605744,11.35
1996-06-01,1996,6,11.089556135770234,11.35
1996-07-01,1996,7,11.028851174934726,11.35
1996-08-01,1996,8,10.968146214099216,11.35
1996-09-01,1996,9,10.907441253263707,11.35
1996-10-01,1996,10,10.846736292428199,11.35
1996-11-01,1996,11,10.786031331592689,11.35
1996-12-01,1996,12,10.72532637075718,11.35
1997-01-01,1997,1,10.66462140992167,10.6
1997-02-01,1997,2,10.603916449086162,10.6
1997-03-01,1997,3,10.491723237597911,10.6
1997-04-01,1997,4,10.37597911227154,10.6
1997-05-01,1997,5,10.26023498694517,10.6
1997-06-01,1997,6,10.144490861618799,10.6
1997-07-01,1997,7,10.028746736292428,10.6
1997-08-01,1997,8,9.913002610966057,10.6
1997-09-01,1997,9,9.797258485639686,10.6
1997-10-01,1997,10,9.681514360313315,10.6
1997-11-01,1997,11,9.565770234986944,10.6
1997-12-01,1997,12,9.450026109660573,10.6
1998-01-01,1998,1,9.334281984334204,9.17
1998-02-01,1998,2,9.218537859007833,9.17
1998-03-01,1998,3,9.156370757180156,9.17
1998-04-01,1998,4,9.13289817232376,9.17
1998-05-01,1998,5,9.109425587467364,9.17
1998-06-01,1998,6,9.085953002610966,9.17
1998-07-01,1998,7,9.06248041775457,9.17
1998-08-01,1998,8,9.039007832898173,9.17
1998-09-01,1998,9,9.015535248041775,9.17
1998-10-01,1998,10,8.99206266318538,9.17
1998-11-01,1998,11,8.968590078328981,9.17
1998-12-01,1998,12,8.945117493472585,9.17
1999-01-01,1999,1,8.921644908616189,8.88
1999-02-01,1999,2,8.898172323759791,8.88
1999-03-01,1999,3,8.85916449086162,8.88
1999-04-01,1999,4,8.766892950391645,8.88
1999-05-01,1999,5,8.674621409921672,8.88
1999-06-01,1999,6,8.582349869451697,8.88
1999-07-01,1999,7,8.490078328981724,8.88
1999-08-01,1999,8,8.39780678851175,8.88
1999-09-01,1999,9,8.305535248041775,8.88
1999-10-01,1999,10,8.213263707571802,8.88
