year,emigration,male_perc,female_perc,total_skilled_perc,total_lowskilled_perc,male_skilled_perc,male_lowskilled_perc,female_skilled_perc,female_lowskilled_perc,average_age_of_emigrant,average_contract_years,top1,top1_perc,top2,top2_perc,top3,top3_perc,top4,top4_perc,top5,top5_perc
2000,182188,32.82,67.18,80.37,19.63,55.9,44.1,92.33,7.67,28.4,2.0,Colombo,16.2,Gampaha,13.4,Kurunegala,11.8,Kandy,9.1,Kalutara,7.5
2001,184007,32.5,67.5,81.86,18.14,57.22,42.78,93.72,6.28,28.6,2.0,Colombo,15.8,Gampaha,13.1,Kurunegala,12.2,Kandy,8.9,Kalutara,7.2
2002,203773,34.61,65.39,82.1,17.9,58.69,41.31,94.48,5.52,29.1,2.0,Colombo,15.1,Gampaha,12.8,Kurunegala,12.5,Kandy,9.3,Kalutara,7.4
2003,209846,35.51,64.49,78.91,21.09,58.61,41.39,90.08,9.92,29.3,2.1,Colombo,14.7,Gampaha,12.5,Kurunegala,12.9,Kandy,9.5,Kalutara,7.1
2004,214709,37.59,62.41,79.88,20.12,58.1,41.9,92.99,7.01,29.5,2.1,Colombo,14.2,Kurunegala,13.1,Gampaha,12.4,Kandy,9.8,Kalutara,6.9
2005,231290,40.6,59.4,81.88,18.12,58.94,41.06,97.56,2.44,29.8,2.2,Colombo,13.8,Kurunegala,13.4,Gampaha,12.1,Kandy,9.6,Galle,6.5
2006,201948,44.65,55.35,79.74,20.26,59.05,40.95,96.43,3.57,30.1,2.2,Kurunegala,13.9,Colombo,13.5,Gampaha,11.8,Kandy,9.4,Galle,6.3
2007,218459,47.37,52.63,74.51,25.49,51.41,48.59,95.3,4.7,30.4,2.3,Kurunegala,14.2,Colombo,13.1,Gampaha,11.5,Kandy,9.2,Kalutara,6.1
2008,250499,51.19,48.81,74.23,25.77,54.83,45.17,94.57,5.43,30.8,2.3,Kurunegala,14.5,Colombo,12.8,Gampaha,11.2,Kandy,9.0,Kalutara,5.9
2009,247126,48.31,51.69,77.26,22.74,58.57,41.43,94.73,5.27,31.0,2.3,Kurunegala,14.8,Colombo,12.5,Gampaha,10.9,Kandy,8.8,Kalutara,5.7
2010,267507,51.16,48.84,75.57,24.43,59.2,40.8,92.71,7.29,31.2,2.4,Kurunegala,15.1,Colombo,12.2,Gampaha,10.7,Kandy,8.5,Kalutara,5.5
2011,262961,51.84,48.16,74.19,25.81,57.97,42.03,91.66,8.34,31.5,2.4,Kurunegala,15.4,Colombo,11.9,Gampaha,10.4,Kandy,8.2,Batticaloa,5.8
2012,282447,51.03,48.97,76.5,23.5,60.84,39.16,92.82,7.18,31.8,2.5,Kurunegala,15.8,Colombo,11.6,Gampaha,10.1,Kandy,8.0,Batticaloa,6.2
2013,293218,59.75,40.25,74.63,25.37,63.44,36.56,91.24,8.76,32.1,2.5,Kurunegala,16.1,Colombo,11.3,Gampaha,9.8,Kandy,7.8,Batticaloa,6.5
2014,300703,63.26,36.74,72.23,27.77,62.6,37.4,88.81,11.19,32.3,2.5,Kurunegala,16.4,Colombo,11.1,Gampaha,9.5,Kandy,7.6,Batticaloa,6.9
2015,263443,65.59,34.41,71.82,28.18,57.98,42.02,88.73,11.27,32.6,2.6,Kurunegala,16.8,Colombo,10.9,Gampaha,9.2,Kandy,7.4,Kalutara,5.1
2016,242816,66.02,33.98,68.87,31.13,59.42,40.58,87.24,12.76,32.9,2.6,Kurunegala,17.1,Colombo,10.7,Gampaha,8.9,Kandy,7.2,Anuradhapura,4.8
2017,211992,65.69,34.31,69.64,30.36,60.99,39.01,86.22,13.78,33.1,2.7,Kurunegala,17.5,Colombo,10.5,Gampaha,8.6,Kandy,7.0,Anuradhapura,4.6
2018,211211,61.41,38.58,52.07,47.93,65.0,35.0,88.86,11.14,32.4,2.7,Kurunegala,17.9,Kandy,9.8,Colombo,9.4,Gampaha,8.1,Ampara,4.5
2019,203087,60.2,39.8,52.4,47.6,64.5,35.5,86.72,13.28,32.2,2.8,Kurunegala,18.2,Kandy,10.1,Colombo,9.1,Gampaha,7.8,Ampara,4.3
2020,53711,60.51,39.49,54.47,45.53,64.46,35.54,84.8,15.2,31.8,2.8,Kurunegala,18.5,Kandy,10.4,Colombo,8.8,Gampaha,7.5,Batticaloa,4.9
2021,122264,66.34,33.66,60.05,39.95,67.01,32.99,83.36,16.64,31.5,2.9,Kurunegala,18.9,Colombo,9.5,Kandy,9.2,Gampaha,7.2,Batticaloa,5.2
2022,311056,60.12,39.88,66.69,33.31,63.64,36.36,71.28,28.72,30.8,3.1,Colombo,18.4,Gampaha,15.2,Kurunegala,14.8,Kandy,8.9,Kalutara,6.1
2023,297656,44.66,55.34,70.05,29.95,64.89,35.11,76.45,23.55,30.4,3.2,Colombo,19.1,Gampaha,15.8,Kurunegala,13.2,Kandy,8.5,Kalutara,5.9
2024,314786,59.3,40.7,77.66,22.34,68.53,31.47,90.97,9.03,29.9,3.4,Colombo,20.4,Gampaha,16.1,Kurunegala,12.8,Kandy,8.2,Batticaloa,5.4
2025,310915,61.4,38.6,76.46,23.54,67.91,32.09,90.03,9.97,29.7,3.5,Colombo,21.2,Gampaha,16.5,Kurunegala,12.4,Kandy,7.9,Batticaloa,5.7
