Year,Emigration,World_Bank_Poverty_less_than_3.65_dollars_per_Day
2000,182188,58.2
2001,184007,57.4
2002,203773,56.6
2003,209846,54.1
2004,214709,51.6
2005,231290,49.0
2006,201948,46.5
2007,218459,44.4
2008,250499,42.3
2009,247126,40.2
2010,267507,37.3
2011,262961,34.4
2012,282447,31.5
2013,293218,28.8
2014,300703,26.1
2015,263443,23.4
2016,242816,20.8
2017,211992,18.6
2018,211211,16.5
2019,203087,11.3
2020,53711,12.7
2021,122264,13.1
2022,311056,25.0
2023,297656,27.1
2024,314786,24.5
2025,310915,22.7
